
Host: bp1-login01.data.bp.acrc.priv

Timers On : Mon Apr 19 15:05:13 2021
Timers Off: Mon Apr 19 15:05:47 2021

Wall Time:       34.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.400u      0.233s      0.282w     15 calls
DFH: sparsity prep                  :      4.000u      0.183s      0.756w     15 calls
DFH: initialize()                   :     47.733u      2.500s      2.839w     15 calls
DFH: AO Construction                :      3.117u      0.150s      0.161w     15 calls
DFH: AO-Met. Contraction            :      1.767u      0.617s      0.118w     15 calls
HF: Form core H                     :      4.067u      0.150s      0.229w     15 calls
HF: Form S/X                        :      0.283u      0.017s      0.017w     15 calls
HF: Guess                           :     73.150u      2.367s      3.786w     15 calls
SAD Guess                           :     70.467u      2.267s      3.646w      9 calls
HF: Form G                          :     88.333u      1.900s      4.518w    128 calls
RV: Form V                          :     77.300u      1.567s      3.942w    128 calls
Properties                          :      9.722p                          53213 calls
Functional                          :      7.510p                          53213 calls
V_xc                                :     28.031p                          53213 calls
JK: D                               :      0.100u      0.000s      0.003w    128 calls
JK: USO2AO                          :      0.783u      0.000s      0.037w    128 calls
JK: JK                              :      4.533u      0.150s      0.235w    128 calls
DFH: compute_JK()                   :      4.517u      0.150s      0.233w    128 calls
DFH: Grabbing AOs                   :      0.000u      0.017s      0.001w    128 calls
DFH: compute_J                      :      1.367u      0.083s      0.074w    128 calls
DFH: compute_K                      :      2.967u      0.033s      0.146w    128 calls
JK: AO2USO                          :      0.550u      0.000s      0.027w    128 calls
HF: Form F                          :      0.117u      0.017s      0.005w    128 calls
HF: Form D                          :      0.033u      0.017s      0.003w    128 calls
HF: DIIS                            :      3.333u      0.283s      0.181w    119 calls
DIISManager::add_entry              :      1.000u      0.150s      0.055w    113 calls
DIISManager::extrapolate            :      0.833u      0.017s      0.042w    113 calls
bMatrix setup                       :      0.383u      0.017s      0.020w    113 calls
bMatrix pseudoinverse               :      0.200u      0.000s      0.007w    113 calls
New vector                          :      0.167u      0.000s      0.011w    113 calls
HF: Form C                          :      2.033u      0.000s      0.104w    119 calls
DFMP2 Singles                       :      0.033u      0.000s      0.005w     15 calls
DFMP2 Aia                           :     41.450u      1.733s      5.302w     15 calls
DFMP2 (A|mn)                        :      4.633u      0.000s      0.235w     15 calls
DFMP2 (A|mn)C_mi                    :      0.233u      0.000s      0.010w     15 calls
DFMP2 (A|mi)C_na                    :      0.067u      0.000s      0.004w     15 calls
DFMP2 Aia Write                     :      0.250u      0.033s      0.014w     15 calls
DFMP2 Qia                           :     49.550u      1.733s      3.185w     15 calls
DFMP2 Metric                        :     34.450u      0.983s      2.195w     15 calls
