,wB97X-D3,wB97X-V,B2-PLYP-D3BJ,CAM-B3LYP-D3BJ,wB97X-D3BJ,XCH-BLYP-UW12-D3BJ,B-LYP-osUW12-D3BJ,wB97X-MP2-D3BJ,PBE-D3BJ,WM21-D3BJ,wB97M-V,BLYP-D3BJ,B3LYP-D3BJ,PBE0-D3BJ,MP2,DSD-BLYP-D3BJ
05_CF2_0,674.69,,665.08,678.6,682.01,698.48,684.0,702.43,633.18,671.73,,622.56,662.18,675.99,731.92,673.22
05_CF2_1,1163.58,,1138.44,1174.67,1184.07,1226.78,1184.62,1224.22,1059.45,1156.76,,1020.32,1119.08,1165.61,1276.86,1163.05
05_CF2_2,1255.51,,1234.91,1268.35,1276.39,1312.64,1279.79,1316.36,1165.9,1251.82,,1142.88,1223.66,1255.41,1367.19,1256.68
14_F2_0,1051.06,,966.86,1060.95,1073.68,1105.45,1057.49,1100.96,959.46,1031.18,,937.08,1009.53,1044.6,1180.52,967.91
19_HCl_0,3024.74,,3007.31,2990.36,3026.93,3071.52,3028.87,3057.6,2898.23,2985.39,,2841.47,2940.57,3007.62,3161.27,3047.36
16_H2CS_0,1024.16,,1001.57,999.99,1008.61,1013.11,1009.89,1029.78,959.47,996.16,,962.93,989.69,991.87,1067.25,1011.19
16_H2CS_1,1063.45,,1016.09,1031.3,1045.46,1040.59,1037.05,1078.32,969.92,1024.79,,969.65,1010.61,1019.44,1140.78,1024.89
16_H2CS_2,1137.97,,1092.02,1130.48,1147.55,1156.56,1132.24,1155.23,1075.88,1124.91,,1048.36,1095.67,1125.96,1185.83,1104.19
16_H2CS_3,1502.43,,1485.05,1482.03,1496.81,1499.18,1502.86,1535.52,1416.32,1478.1,,1423.07,1466.53,1470.46,1604.79,1499.64
16_H2CS_4,3092.28,,3084.03,3084.26,3105.19,3152.83,3130.79,3153.06,2970.24,3073.12,,2952.61,3045.64,3077.26,3253.43,3110.86
16_H2CS_5,3187.97,,3174.25,3173.96,3197.49,3249.05,3223.13,3245.64,3055.47,3164.41,,3031.49,3131.37,3170.07,3347.07,3203.49
03_C2H4_0,844.6,,828.86,831.26,835.05,841.25,839.39,855.53,797.06,825.47,,807.78,826.38,820.82,885.39,832.09
03_C2H4_1,1001.48,,952.09,980.2,988.73,989.5,981.82,1018.39,911.6,969.33,,916.28,958.27,962.26,1073.24,956.22
03_C2H4_2,1001.64,,972.4,985.78,997.47,989.94,989.49,1024.62,929.66,972.36,,934.63,966.65,969.62,1080.33,979.65
03_C2H4_3,1082.7,,1063.14,1065.76,1070.59,1089.52,1079.96,1092.96,1028.81,1059.58,,1029.14,1056.81,1062.3,1136.09,1069.64
03_C2H4_4,1240.05,,1237.69,1235.62,1241.98,1249.08,1252.05,1274.61,1186.67,1229.52,,1199.33,1228.65,1224.51,1328.43,1244.67
03_C2H4_5,1380.3,,1373.79,1374.08,1382.71,1394.82,1392.62,1413.75,1326.65,1367.46,,1330.99,1365.65,1369.14,1467.69,1382.19
03_C2H4_6,1456.28,,1459.87,1450.0,1458.68,1467.24,1473.57,1499.07,1392.86,1442.97,,1407.42,1443.76,1439.41,1565.24,1470.86
03_C2H4_7,1729.79,,1693.63,1726.14,1739.18,1757.18,1737.66,1766.36,1648.87,1712.51,,1638.83,1694.68,1712.86,1831.13,1703.67
03_C2H4_8,3154.6,,3159.03,3148.86,3160.93,3230.02,3195.17,3202.15,3062.46,3132.18,,3043.76,3123.06,3152.81,3286.3,3182.16
03_C2H4_9,3177.46,,3176.41,3168.7,3183.02,3248.58,3214.36,3224.52,3079.04,3153.46,,3058.21,3139.66,3171.87,3310.93,3200.46
03_C2H4_10,3248.6,,3247.14,3235.77,3250.54,3324.69,3283.96,3289.59,3147.63,3221.46,,3120.78,3204.78,3242.89,3370.71,3273.35
03_C2H4_11,3271.91,,3273.58,3260.63,3274.37,3350.18,3309.87,3315.05,3174.84,3245.64,,3149.52,3232.3,3269.06,3398.21,3299.4
04_CCl2_0,346.91,,335.28,343.12,351.48,353.15,345.65,353.03,318.2,342.8,,307.28,329.16,340.27,362.97,342.65
04_CCl2_1,759.75,,730.65,749.48,767.63,776.44,755.3,768.87,705.52,755.91,,657.42,717.12,745.2,785.65,747.2
04_CCl2_2,799.09,,753.61,786.39,812.44,833.29,792.01,808.38,710.5,788.9,,678.9,727.08,781.33,840.5,777.82
07_Cl2_0,577.81,,534.11,556.12,574.44,585.52,557.24,582.41,519.97,568.52,,486.09,522.63,557.89,590.77,544.34
32_S2_0,766.8,,706.55,754.17,779.78,772.24,756.2,778.67,697.7,756.6,,663.27,710.19,747.97,820.63,719.46
02_C2H2_0,678.75,,600.99,677.82,703.92,670.9,659.74,726.97,573.02,659.63,,560.15,626.84,647.45,783.83,602.21
02_C2H2_1,678.75,,600.99,677.82,703.92,670.9,659.74,726.97,573.02,659.63,,560.15,626.84,647.45,783.83,602.21
02_C2H2_2,781.07,,764.5,785.62,794.55,789.62,789.68,817.06,742.85,775.54,,744.22,772.56,777.97,866.1,766.9
02_C2H2_3,781.07,,764.51,785.62,794.55,789.62,789.68,817.06,742.85,775.54,,744.22,772.56,777.97,866.1,766.91
02_C2H2_4,2097.7,,2028.06,2108.02,2120.23,2131.15,2109.71,2150.58,2016.8,2080.56,,2009.35,2072.96,2090.08,2223.88,2025.0
02_C2H2_5,3441.58,,3448.23,3436.65,3444.75,3515.61,3484.94,3490.86,3366.89,3418.51,,3354.73,3425.26,3448.22,3577.13,3464.23
02_C2H2_6,3548.77,,3541.12,3542.75,3552.35,3621.34,3587.69,3599.91,3465.96,3522.22,,3451.12,3526.51,3552.98,3689.33,3555.81
10_CO2_0,671.21,,649.75,669.08,677.67,679.64,673.75,705.22,624.25,657.47,,615.74,654.01,667.9,760.82,656.55
10_CO2_1,671.21,,649.75,669.08,677.67,679.64,673.75,705.22,624.25,657.47,,615.74,654.01,667.9,760.82,656.55
10_CO2_2,1394.88,,1336.98,1392.11,1403.66,1417.78,1398.71,1442.03,1312.69,1373.4,,1293.01,1361.45,1389.37,1513.24,1347.21
10_CO2_3,2467.81,,2410.2,2457.61,2467.32,2527.58,2480.05,2505.53,2371.1,2430.11,,2326.36,2419.04,2470.82,2579.69,2432.48
01_BH3_0,1151.06,,1160.93,1149.06,1152.02,1164.51,1167.62,1175.24,1109.22,1147.4,,1126.95,1146.22,1135.49,1212.78,1169.53
01_BH3_1,1184.05,,1202.44,1183.63,1193.01,1203.32,1210.82,1227.48,1131.6,1189.0,,1148.36,1176.56,1169.79,1274.9,1217.15
01_BH3_2,1185.9,,1202.62,1184.06,1193.44,1203.6,1211.01,1228.4,1132.07,1189.26,,1148.64,1176.9,1170.31,1274.99,1217.28
01_BH3_3,2558.15,,2576.41,2563.5,2568.83,2621.79,2597.58,2604.81,2491.54,2560.11,,2490.77,2543.67,2553.75,2649.05,2594.17
01_BH3_4,2707.32,,2717.92,2707.58,2713.38,2774.49,2739.23,2744.15,2639.86,2703.04,,2628.2,2684.01,2703.88,2777.02,2736.36
01_BH3_5,2707.62,,2718.03,2707.67,2713.42,2774.95,2739.47,2744.42,2640.22,2703.13,,2628.56,2684.1,2703.97,2777.03,2736.44
31_CH3OH_0,348.7,,338.39,330.03,328.61,341.35,336.69,334.86,332.66,333.66,,331.5,332.08,333.99,342.87,342.06
31_CH3OH_1,1087.52,,1072.8,1074.69,1081.84,1094.89,1090.06,1110.04,1029.8,1070.35,,1010.22,1060.25,1071.5,1154.69,1083.23
31_CH3OH_2,1130.17,,1101.61,1119.79,1128.0,1171.52,1130.47,1144.99,1072.42,1109.58,,1052.6,1090.87,1126.21,1184.59,1113.56
31_CH3OH_3,1177.86,,1170.17,1165.78,1175.02,1189.56,1185.11,1207.58,1117.91,1160.67,,1116.99,1154.59,1162.4,1264.86,1181.6
31_CH3OH_4,1391.97,,1392.7,1381.19,1389.76,1398.2,1404.38,1426.74,1341.66,1381.69,,1344.75,1377.36,1382.69,1489.14,1403.59
31_CH3OH_5,1485.59,,1484.6,1474.76,1487.06,1498.82,1500.33,1529.23,1413.9,1470.52,,1421.5,1464.8,1468.31,1597.55,1496.82
31_CH3OH_6,1489.61,,1487.8,1476.69,1487.42,1499.46,1503.27,1529.78,1418.02,1471.78,,1426.09,1466.75,1468.54,1600.36,1502.27
31_CH3OH_7,1504.49,,1505.63,1493.51,1504.13,1519.23,1520.28,1543.62,1438.66,1489.36,,1444.22,1484.46,1488.5,1612.44,1519.31
31_CH3OH_8,3004.51,,3003.8,2995.99,3015.41,3071.16,3041.26,3061.17,2886.67,2982.23,,2868.73,2960.4,2992.61,3150.41,3031.7
31_CH3OH_9,3065.11,,3056.58,3045.43,3070.04,3128.96,3093.89,3115.3,2931.17,3033.67,,2903.36,3004.22,3048.22,3203.03,3089.64
31_CH3OH_10,3148.99,,3143.41,3131.01,3151.12,3213.84,3177.69,3191.23,3038.18,3117.51,,3012.51,3097.84,3137.09,3274.98,3172.09
31_CH3OH_11,3882.5,,3826.68,3830.53,3865.39,3948.99,3899.39,3981.47,3670.71,3816.53,,3615.75,3777.85,3853.74,4154.77,3868.62
13_CS_0,1362.14,,1281.16,1358.56,1379.73,1374.99,1351.93,1392.56,1260.6,1344.21,,1238.56,1306.01,1334.09,1437.83,1297.98
