,wB97X-D3,wB97X-V,B2-PLYP-D3BJ,CAM-B3LYP-D3BJ,wB97X-D3BJ,XCH-BLYP-UW12-D3BJ,B-LYP-osUW12-D3BJ,wB97X-MP2-D3BJ,PBE-D3BJ,WM21-D3BJ,wB97M-V,BLYP-D3BJ,B3LYP-D3BJ,PBE0-D3BJ,MP2,DSD-BLYP-D3BJ
05_CF2_0,682.8,,673.78,685.45,688.33,706.18,692.62,710.1,641.15,678.56,,632.4,671.11,683.28,743.64,682.15
05_CF2_1,1147.35,,1117.47,1150.04,1160.09,1212.37,1169.21,1211.06,1038.64,1136.4,,994.76,1100.53,1151.84,1277.51,1143.49
05_CF2_2,1257.14,,1233.56,1262.93,1271.74,1313.6,1280.83,1318.46,1160.27,1249.19,,1134.8,1221.93,1256.96,1379.2,1256.63
14_F2_0,1105.58,,1013.29,1096.11,1115.52,1151.52,1104.28,1163.98,995.21,1072.65,,959.15,1045.78,1097.51,1264.62,1024.5
19_HCl_0,3014.45,,2992.87,2988.84,3019.18,3067.25,3024.58,3048.82,2895.67,2981.09,,2851.32,2943.08,2997.79,3140.98,3025.93
16_H2CS_0,1043.04,,1009.45,1014.41,1019.62,1027.05,1023.09,1039.63,971.49,1007.82,,980.46,1005.13,1001.84,1075.4,1015.5
16_H2CS_1,1087.26,,1031.13,1050.42,1061.71,1059.6,1055.73,1094.59,985.67,1041.59,,989.98,1030.28,1034.64,1156.88,1037.95
16_H2CS_2,1134.75,,1085.06,1124.91,1140.98,1151.6,1126.15,1147.26,1069.11,1118.19,,1042.93,1089.99,1118.84,1174.27,1097.1
16_H2CS_3,1528.74,,1502.48,1508.59,1518.17,1524.25,1527.76,1556.55,1438.43,1500.47,,1455.31,1495.08,1489.44,1622.3,1511.9
16_H2CS_4,3095.04,,3087.27,3091.12,3106.37,3155.94,3132.34,3149.69,2977.03,3075.54,,2973.86,3056.96,3073.67,3238.85,3110.73
16_H2CS_5,3182.1,,3173.4,3174.0,3191.12,3245.18,3217.81,3235.14,3055.93,3159.84,,3047.8,3136.48,3158.64,3324.44,3200.3
03_C2H4_0,856.69,,835.3,841.36,842.78,850.01,847.06,862.18,803.49,833.78,,818.25,836.02,826.35,890.89,836.92
03_C2H4_1,1020.99,,981.16,992.42,1000.2,1003.05,1002.15,1030.12,936.2,984.21,,942.92,978.87,980.18,1085.37,985.39
