,aug-cc-pVQZ_B2-PLYP-D3BJ,aug-cc-pVQZ_B3LYP-D3BJ,aug-cc-pVQZ_B3LYP-D3BJ-a,aug-cc-pVQZ_BLYP-D3BJ,aug-cc-pVQZ_B-LYP-osUW12-D3BJ,aug-cc-pVQZ_CAM-B3LYP-D3BJ,aug-cc-pVQZ_DSD-BLYP-D3BJ,aug-cc-pVQZ_MP2,aug-cc-pVQZ_PBE0-D3BJ,aug-cc-pVQZ_PBE-D3BJ,aug-cc-pVQZ_wB97X-D3,aug-cc-pVQZ_wB97X-D3BJ,aug-cc-pVQZ_wB97X-MP2-D3BJ,aug-cc-pVQZ_wB97X-V,aug-cc-pVQZ_WM21-D3BJ,aug-cc-pVQZ_XCH-BLYP-UW12-D3BJ,aug-cc-pVQZ_B3LYP-D3BJ-n,aug-cc-pVQZ_wB97M-V,aug-cc-pVQZ_B3LYP-D3BJ_gvt,cc-pVQZ_B2-PLYP-D3BJ,cc-pVQZ_B3LYP-D3BJ,cc-pVQZ_BLYP-D3BJ,cc-pVQZ_B-LYP-osUW12-D3BJ,cc-pVQZ_CAM-B3LYP-D3BJ,cc-pVQZ_DSD-BLYP-D3BJ,cc-pVQZ_MP2,cc-pVQZ_PBE0-D3BJ,cc-pVQZ_PBE-D3BJ,cc-pVQZ_wB97X-D3,cc-pVQZ_wB97X-D3BJ,cc-pVQZ_wB97X-MP2-D3BJ,cc-pVQZ_WM21-D3BJ,cc-pVQZ_XCH-BLYP-UW12-D3BJ,cc-pVQZ_wB97X-V,cc-pVQZ_wB97M-V,cc-pVTZ_B2-PLYP-D3BJ,cc-pVTZ_B3LYP-D3BJ,cc-pVTZ_BLYP-D3BJ,cc-pVTZ_B-LYP-osUW12-D3BJ,cc-pVTZ_CAM-B3LYP-D3BJ,cc-pVTZ_DSD-BLYP-D3BJ,cc-pVTZ_MP2,cc-pVTZ_PBE0-D3BJ,cc-pVTZ_PBE-D3BJ,cc-pVTZ_wB97X-D3,cc-pVTZ_wB97X-D3BJ,cc-pVTZ_wB97X-MP2-D3BJ,cc-pVTZ_WM21-D3BJ,cc-pVTZ_XCH-BLYP-UW12-D3BJ,cc-pVTZ_wB97M-V,cc-pVTZ_wB97X-V,aug-cc-pVTZ_B2-PLYP-D3BJ,aug-cc-pVTZ_B3LYP-D3BJ,aug-cc-pVTZ_BLYP-D3BJ,aug-cc-pVTZ_B-LYP-osUW12-D3BJ,aug-cc-pVTZ_CAM-B3LYP-D3BJ,aug-cc-pVTZ_DSD-BLYP-D3BJ,aug-cc-pVTZ_MP2,aug-cc-pVTZ_PBE0-D3BJ,aug-cc-pVTZ_PBE-D3BJ,aug-cc-pVTZ_wB97X-D3,aug-cc-pVTZ_wB97X-D3BJ,aug-cc-pVTZ_wB97X-MP2-D3BJ,aug-cc-pVTZ_WM21-D3BJ,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ,aug-cc-pVTZ_wB97M-V,aug-cc-pVTZ_wB97X-V,aug-cc-pVTZ_B3LYP-D3BJ-num,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-num,aug-cc-pVTZ_B3LYP-D3BJ-an,aug-cc-pVTZ_B3LYP-D3BJ-tight,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-tight,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ-num,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ-tight,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-num2,aug-cc-pVTZ_B3LYP-D3BJ-num2,aug-cc-pVTZ_B3LYP-D3BJ-an2,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-tight2,aug-cc-pVTZ_B-LYP-osUW12-D3BJ-num2-tight,aug-cc-pVTZ_B-LYP-osUW12-D3BJ_14,aug-cc-pVTZ_TPSS-D3BJ,aug-cc-pVTZ_TPSSh-D3BJ,aug-cc-pVTZ_SCAN-D3BJ,aug-cc-pVTZ_XCH-BLYP-UW12-D3BJ_fc,cc-pVDZ_B2-PLYP-D3BJ,cc-pVDZ_B3LYP-D3BJ,cc-pVDZ_BLYP-D3BJ,cc-pVDZ_B-LYP-osUW12-D3BJ,cc-pVDZ_CAM-B3LYP-D3BJ,cc-pVDZ_DSD-BLYP-D3BJ,cc-pVDZ_MP2,cc-pVDZ_PBE0-D3BJ,cc-pVDZ_PBE-D3BJ,cc-pVDZ_wB97X-D3,cc-pVDZ_wB97X-D3BJ,cc-pVDZ_wB97X-MP2-D3BJ,cc-pVDZ_WM21-D3BJ,cc-pVDZ_XCH-BLYP-UW12-D3BJ,cc-pVDZ_wB97M-V,cc-pVDZ_wB97X-V,aug-cc-pVDZ_B2-PLYP-D3BJ,aug-cc-pVDZ_B3LYP-D3BJ,aug-cc-pVDZ_BLYP-D3BJ,aug-cc-pVDZ_B-LYP-osUW12-D3BJ,aug-cc-pVDZ_CAM-B3LYP-D3BJ,aug-cc-pVDZ_DSD-BLYP-D3BJ,aug-cc-pVDZ_MP2,aug-cc-pVDZ_PBE0-D3BJ,aug-cc-pVDZ_PBE-D3BJ,aug-cc-pVDZ_wB97X-D3,aug-cc-pVDZ_wB97X-D3BJ,aug-cc-pVDZ_wB97X-MP2-D3BJ,aug-cc-pVDZ_WM21-D3BJ,aug-cc-pVDZ_XCH-BLYP-UW12-D3BJ,aug-cc-pVDZ_wB97M-V,aug-cc-pVDZ_wB97X-V
01_BH3_0,1.8183e-05,-5.163e-06,-5.159e-06,-7.533e-06,1.107e-06,-2.784e-06,1.7795e-05,9.809e-06,-1.905e-06,-4.104e-06,-0.000603112,4.55e-07,-5.7095e-05,,-2.3865e-05,2.18e-07,-5.359e-06,,-6.6055e-05,7.831e-06,-5.389e-06,-7.805e-06,1.001e-06,-3.037e-06,-4.58e-07,9.784e-06,-2.127e-06,-4.466e-06,-0.00059252,2.09e-07,-3.0953e-05,-2.3932e-05,1.13e-07,,,1.1492e-05,1.1151e-05,1.1142e-05,1.0644e-05,1.2757e-05,-6.9e-07,9.702e-06,1.2006e-05,1.2624e-05,-0.000490151,1.2845e-05,-1.6282e-05,-1.127e-05,1.6486e-05,,,1.6146e-05,1.1156e-05,1.115e-05,1.0628e-05,1.2734e-05,1.3421e-05,9.773e-06,1.2002e-05,1.2635e-05,-0.000490577,1.2826e-05,-3.0361e-05,-1.1147e-05,1.161e-05,,,1.98e-06,-1.279e-06,1.1144e-05,1.81e-06,8.508e-06,6.525e-06,1.4043e-05,,,,,,,,,,2.3972e-05,3.1072e-05,5.963e-06,1.124e-06,7.986e-06,5.27e-06,1.3514e-05,9.901e-06,4.574e-06,-5.48e-07,-0.000245639,5.007e-06,-4.66e-06,-5.265e-06,7.425e-06,,,-9.9e-07,4.933e-06,5.062e-06,7.422e-06,4.279e-06,1.0566e-05,9.83e-06,3.887e-06,4.019e-06,-0.000266902,4.323e-06,2.7662e-05,-7.554e-06,6.67e-06,,
01_BH3_1,2.433e-05,2.2784e-05,2.276e-05,3.2108e-05,9.959e-06,2.0648e-05,1.3684e-05,-1.831e-06,2.158e-05,3.2015e-05,-0.000378508,1.8004e-05,3.118e-05,,2.8362e-05,9.227e-06,2.2136e-05,,5.5876e-05,3.121e-06,2.2713e-05,3.2001e-05,9.921e-06,2.0605e-05,4.078e-06,-1.795e-06,2.1475e-05,3.1864e-05,-0.000380639,1.7962e-05,3.7946e-05,2.8196e-05,9.194e-06,,,-6.908e-06,-2.75e-06,2.34e-07,-2.89e-06,-5.249e-06,-2.1796e-05,-1.782e-06,-2.697e-06,1.136e-06,-0.000327889,-4.899e-06,2.6117e-05,1.0579e-05,-6.106e-06,,,-1.601e-06,-2.765e-06,2.84e-07,-2.916e-06,-5.278e-06,-6.83e-07,-1.854e-06,-2.745e-06,1.181e-06,-0.000330037,-4.922e-06,1.6378e-05,1.0509e-05,-5.29e-06,,,-1.1702e-05,-6.355e-06,-2.736e-06,6.193e-06,-1.15e-06,-2.6476e-05,-5.7e-06,,,,,,,,,,-1.9298e-05,2.4687e-05,1.1365e-05,1.5714e-05,5.076e-06,1.0931e-05,-2.881e-06,-1.867e-06,1.1572e-05,1.6616e-05,-0.000173817,9.983e-06,5.4432e-05,1.2014e-05,5.147e-06,,,-1.8956e-05,1.2101e-05,1.5957e-05,5.281e-06,1.1665e-05,-1.0246e-05,-1.83e-06,1.2199e-05,1.6574e-05,-0.000196128,1.0676e-05,7.7323e-05,1.3311e-05,5.211e-06,,
01_BH3_2,-0.198495221,-0.198493709,-0.198493734,-0.198504062,-0.198479838,-0.198488576,-0.198497609,-0.1984621,-0.198486303,-0.198497264,-0.198625725,-0.198482737,-0.198488915,,-0.198508103,-0.198480493,-0.19849346,,-0.198532243,-0.198539747,-0.198493723,-0.198504038,-0.19847983,-0.198488672,-0.198454238,-0.198462021,-0.198486306,-0.198497125,-0.198619132,-0.198482836,-0.198520474,-0.198507802,-0.19848051,,,-0.198442828,-0.198435387,-0.198427325,-0.198448098,-0.198437307,-0.198433356,-0.198462042,-0.198438176,-0.19842908,-0.198629286,-0.198441439,-0.19849655,-0.198461253,-0.198443671,,,-0.198459953,-0.198435251,-0.198427118,-0.198448003,-0.198437224,-0.198456528,-0.198462079,-0.198438086,-0.198429021,-0.198629,-0.198441382,-0.198455289,-0.198461047,-0.198446679,,,-0.198440192,-0.198435598,-0.198435248,-0.198454903,-0.198468065,-0.198455956,-0.198445148,,,,,,,,,,-0.198429152,-0.198528691,-0.198484848,-0.198495629,-0.198474485,-0.19848299,-0.198477268,-0.198461903,-0.198480579,-0.198491942,-0.198557509,-0.198480063,-0.198494856,-0.198488961,-0.198474675,,,-0.198477299,-0.198485743,-0.198493274,-0.198474891,-0.198483848,-0.198480372,-0.198461986,-0.198481087,-0.198489226,-0.198560206,-0.198480654,-0.198554373,-0.198491309,-0.198475032,,
01_BH3_3,-0.401490011,-0.402214844,-0.402214943,-0.403736508,-0.400711815,-0.401809671,-0.401197677,-0.401997744,-0.403707514,-0.405673166,-0.355947959,-0.402869184,-0.403292947,,-0.403842314,-0.398446949,-0.402197572,,-0.315534299,-0.401550255,-0.402192751,-0.403702011,-0.400709714,-0.401790257,-0.401340742,-0.4019924,-0.40368057,-0.405629985,-0.355952392,-0.402851076,-0.403279163,-0.403815535,-0.398434278,,,-0.401950362,-0.402536064,-0.404057157,-0.401062537,-0.40214317,-0.401651148,-0.402242865,-0.404011342,-0.405968218,-0.35359181,-0.403182757,-0.403148934,-0.403918549,-0.398747864,,,-0.401861178,-0.40253155,-0.404064533,-0.401045456,-0.402138453,-0.401659923,-0.402231901,-0.404003384,-0.405972431,-0.35360829,-0.403185335,-0.403260805,-0.403911111,-0.39872787,,,-0.402568795,-0.401098587,-0.402531621,-0.39275941,-0.387503551,-0.398717678,-0.398733548,,,,,,,,,,-0.39966932,-0.407380319,-0.408095638,-0.41011343,-0.406023825,-0.40764966,-0.407128206,-0.405962603,-0.408568893,-0.41114978,-0.355553399,-0.408099952,-0.407202102,-0.408867318,-0.403902917,,,-0.406150064,-0.406530018,-0.40827715,-0.404764737,-0.40612714,-0.406033662,-0.405450579,-0.4073941,-0.409615222,-0.354820427,-0.406824518,-0.406221742,-0.407592784,-0.402573346,,
01_BH3_4,-1.035101079,-1.036904191,-1.036904215,-1.040912923,-1.032867779,-1.035848728,-1.034333325,-1.036011649,-1.040711263,-1.045874581,-1.087941126,-1.038530808,-1.035536866,,-1.039761156,-1.027038184,-1.036918873,,-1.040981587,-1.034993694,-1.036843639,-1.040819965,-1.032860553,-1.035795013,-1.034150187,-1.03599771,-1.040637517,-1.045756884,-1.087957626,-1.038479247,-1.035483447,-1.039719516,-1.027003448,,,-1.035753733,-1.037559105,-1.041543552,-1.033695677,-1.036480819,-1.035062389,-1.036642818,-1.041281701,-1.046394316,-1.089558527,-1.039104899,-1.036398435,-1.040496345,-1.027694939,,,-1.035901726,-1.037545623,-1.041561031,-1.033650311,-1.036467218,-1.035223196,-1.036615005,-1.041261703,-1.046406215,-1.089588324,-1.03911181,-1.036357291,-1.040489958,-1.027665705,,,-1.037522603,-1.033808685,-1.037545571,-1.035528824,-1.022482234,-1.027692725,-1.02766891,,,,,,,,,,-1.030028697,-1.049965436,-1.051881997,-1.05714599,-1.046474927,-1.050729364,-1.049232159,-1.046229756,-1.053089115,-1.059804296,-1.102270031,-1.051863839,-1.04829727,-1.053293555,-1.041022896,,,-1.04679196,-1.047870108,-1.052399603,-1.043238783,-1.046822398,-1.04645856,-1.044910046,-1.05007402,-1.055826711,-1.099322713,-1.048588174,-1.045485923,-1.049949048,-1.037603536,,
01_BH3_5,0.217653106,0.218429507,0.218429384,0.220042143,0.216786336,0.218015201,0.217346709,0.218038044,0.219972824,0.222050468,0.135982335,0.219089847,0.220090002,,0.22011816,0.21444812,0.218417777,,0.27845949,0.217549731,0.218405398,0.220005492,0.216783662,0.21799351,0.217323667,0.2180325,0.219943907,0.222004104,0.135888021,0.219068815,0.220101972,0.220089582,0.21443417,,,0.218071314,0.218845118,0.220500076,0.217218555,0.218370407,0.217759844,0.218291971,0.220282826,0.222391201,0.134633313,0.219382296,0.219815104,0.220226405,0.214767744,,,0.218090186,0.218840199,0.220508014,0.217200672,0.218365233,0.217783024,0.218280644,0.22027458,0.222395955,0.13466183,0.219385367,0.219889641,0.220218466,0.214796727,,,0.218886332,0.217284445,0.218840282,0.232895895,0.255859355,0.21479206,0.214777889,,,,,,,,,,0.215650749,0.223560822,0.224359745,0.226421503,0.222207912,0.223910463,0.223333702,0.222146113,0.224875948,0.227534486,0.139178299,0.224379999,0.223781925,0.22513787,0.22001721,,,0.222324747,0.222748092,0.224546615,0.220908029,0.22234089,0.222215906,0.221615554,0.223664583,0.225957065,0.138462565,0.223063821,0.222714371,0.223824844,0.218643998,,
01_BH3_6,-0.171484884,-0.171464314,-0.171464188,-0.171916669,-0.171155555,-0.17139188,-0.171569586,-0.172157937,-0.17225925,-0.17289106,-0.252971001,-0.171991177,-0.170100996,,-0.171918672,-0.17014869,-0.171464994,,-0.147006456,-0.171485871,-0.171454195,-0.171900869,-0.171153738,-0.171381905,-0.171513109,-0.172155651,-0.172246806,-0.17287149,-0.252962594,-0.171983076,-0.170009754,-0.171917247,-0.170143671,,,-0.172253178,-0.172703612,-0.173432326,-0.171905183,-0.172564412,-0.172125814,-0.172262862,-0.173345323,-0.174278206,-0.254441011,-0.172976152,-0.171097108,-0.17287829,-0.170890747,,,-0.172318899,-0.172703519,-0.173437877,-0.171898809,-0.172564778,-0.172139318,-0.172258159,-0.173343306,-0.174282292,-0.254458378,-0.172979823,-0.171074892,-0.172881673,-0.170933579,,,-0.172678497,-0.171948661,-0.172703322,-0.237393552,-0.215358769,-0.17093196,-0.170911059,,,,,,,,,,-0.171215458,-0.1741989,-0.174379458,-0.17500791,-0.173666358,-0.174192747,-0.174177395,-0.173855968,-0.174611322,-0.175475326,-0.261272824,-0.174421443,-0.173338891,-0.174665077,-0.17273947,,,-0.173678598,-0.173680619,-0.174330558,-0.17311344,-0.173516827,-0.173713151,-0.173636556,-0.174093459,-0.174935939,-0.260373825,-0.173860787,-0.172722415,-0.174074523,-0.172154079,,
01_BH3_7,0.995336969,0.996996708,0.996996564,1.000791017,0.993196599,0.99601235,0.994644926,0.996329012,1.000706852,1.005607321,0.945616927,0.998624829,0.997929,,1.000430771,0.987589598,0.996987893,,1.004539318,0.995199608,0.996939567,1.000703246,0.993190168,0.995961273,0.994478095,0.996315683,1.00063746,1.00549664,0.945552046,0.998576123,0.997947779,1.000377276,0.98755684,,,0.9962195,0.998016913,1.001897051,0.994215633,0.996960961,0.995484053,0.996936229,1.001559444,1.006524604,0.944275327,0.99944879,0.998288759,1.001060548,0.988422581,,,0.99634029,0.998005235,1.001915606,0.994172904,0.996948962,0.995645843,0.996909243,1.001540267,1.006536247,0.944319527,0.999456094,0.99830332,1.001048615,0.988429112,,,0.998025505,0.994318034,0.998005324,1.012157252,1.018179014,0.988408702,0.988415288,,,,,,,,,,0.990625816,1.009684299,1.011424228,1.016381169,1.006295125,1.010332479,1.008979253,1.006155812,1.012625301,1.018987134,0.955357158,1.011449754,1.008901669,1.013078535,1.00104809,,,1.006546362,1.007557267,1.01186341,1.003179939,1.00656851,1.006300283,1.004886763,1.00972129,1.015203401,0.953020004,1.008295207,1.006352937,1.009892946,0.997757118,,
01_BH3_8,0.4226357,0.423957478,0.423957622,0.426499735,0.421313991,0.423251785,0.422019302,0.422893964,0.426123327,0.429365507,0.481547133,0.424759739,0.422398209,,0.425299325,0.417843588,0.423972278,,0.418075536,0.42256522,0.423921052,0.426443827,0.421309806,0.423220209,0.422052965,0.422885695,0.4260786,0.429293774,0.481625666,0.424728633,0.422324101,0.425279217,0.417822335,,,0.422601182,0.423510925,0.425811367,0.421349827,0.422865772,0.422209019,0.423272564,0.42575674,0.428717097,0.483686926,0.424479049,0.422701912,0.425328081,0.417782014,,,0.422601761,0.423501061,0.425819325,0.421321467,0.422855699,0.422300472,0.423255855,0.425743924,0.42872297,0.483682616,0.424481463,0.422715625,0.425325259,0.417716549,,,0.423457035,0.421417862,0.423501031,0.377632405,0.366329667,0.417710814,0.417741782,,,,,,,,,,0.419240662,0.43141929,0.432723625,0.436065026,0.429343564,0.43201985,0.43094653,0.429022448,0.433403788,0.437612698,0.489845699,0.432663203,0.430250727,0.433381619,0.426087699,,,0.429542165,0.430336607,0.43313769,0.427411395,0.429692466,0.429263319,0.428230982,0.43160526,0.435146309,0.487928368,0.430708064,0.428538918,0.431375846,0.424047085,,
01_BH3_9,0.57304354,0.573684337,0.573684305,0.575660726,0.571866279,0.573204351,0.572820823,0.574146014,0.575968685,0.578568346,0.609522089,0.574859922,0.573338064,,0.575784868,0.568595437,0.573672472,,0.462606826,0.57304708,0.573652352,0.575610701,0.571862467,0.573175215,0.572810281,0.574138275,0.575929519,0.578505957,0.609507522,0.574833959,0.573314427,0.57575673,0.568577852,,,0.574171631,0.57522854,0.577478358,0.572957092,0.57469484,0.573725025,0.574495727,0.577344675,0.580233816,0.608522989,0.57614608,0.574277755,0.576808125,0.569622142,,,0.574194715,0.575223928,0.577491276,0.572933652,0.574690513,0.573794802,0.574480302,0.577334704,0.580242104,0.608557261,0.576152348,0.574309687,0.576803947,0.569649855,,,0.575209262,0.573001345,0.575223815,0.630151169,0.602853827,0.569618438,0.56963058,,,,,,,,,,0.570860821,0.581640054,0.582469149,0.585120232,0.579682213,0.581837152,0.581304109,0.579808676,0.583175657,0.586625669,0.617071877,0.582516403,0.58059797,0.583537676,0.576634978,,,0.579797298,0.58020572,0.582602662,0.57787077,0.579639705,0.579743399,0.579077433,0.581483687,0.584547158,0.61546117,0.580680997,0.57909723,0.581674878,0.574720772,,
